onset	duration	trial_type	relevant_rank	irrelevant_rank	I
17.214598	2	F2	4.0	1.0	3.0
39.2266986	2	F2	2.0	1.0	3.0
57.1619343	2	F2	3.0	2.0	1.0
72.4942606	2	F2	1.0	3.0	2.0
91.1784753	2	F2	2.0	1.0	1.0
116.0753053	2	F2	4.0	3.0	1.0
133.0202792	2	F2	4.0	2.0	1.0
152.8066588	2	F2	3.0	4.0	2.0
175.5052072	2	F2	4.0	1.0	3.0
191.5375385	2	F2	4.0	2.0	1.0
209.0127158	2	F2	4.0	1.0	1.0
230.4018825	2	F2	3.0	4.0	3.0
254.1669792	2	F2	4.0	1.0	1.0
275.1784637	2	F2	3.0	1.0	1.0
297.8012209	2	F2	3.0	3.0	1.0
316.9201494	2	F2	1.0	1.0	3.0
331.7350402	2	F2	3.0	3.0	1.0
348.852074	2	F2	4.0	4.0	2.0
369.0388767	2	F2	2.0	3.0	1.0
386.9578227	2	F2	2.0	4.0	3.0
