onset,duration,trial_type,type,EASY,relevant_rank,irrelevant_rank,D,I,E,A
8.0317165,1,2,,,,,,,,
26.9478979,1,1,,,,,,,,
46.9296543,1,2,,,,,,,,
63.561851,1,2,,,,,,,,
80.568102,1,2,,,,,,,,
102.3600739,1,2,,,,,,,,
123.2772801,1,1,,,,,,,,
141.6461229,1,2,,,,,,,,
162.889053,1,1,,,,,,,,
182.2544256,1,2,,,,,,,,
199.0034639,1,1,,,,,,,,
218.438721,1,1,,,,,,,,
241.0184545,1,1,,,,,,,,
263.4000866,1,1,,,,,,,,
285.2223175,1,2,,,,,,,,
306.092676,1,2,,,,,,,,
323.0597347,1,1,,,,,,,,
339.0283111,1,1,,,,,,,,
357.678026,1,2,,,,,,,,
376.7296927,1,2,,,,,,,,
10.5648377,2,22,easy,TRUE,3,1,,,,
29.4837147,2,11,hard,FALSE,4,1,,,,
49.4624471,2,22,hard,FALSE,1,4,,,,
66.0948881,2,22,easy,TRUE,2,4,,,,
83.1045086,2,22,hard,FALSE,4,3,,,,
104.8923863,2,22,easy,TRUE,3,3,,,,
125.8131189,2,11,easy,TRUE,3,2,,,,
144.1814526,2,22,hard,FALSE,1,3,,,,
165.4221516,2,11,easy,TRUE,4,1,,,,
184.7883704,2,22,easy,TRUE,4,2,,,,
201.5384226,2,11,easy,TRUE,3,3,,,,
220.9745021,2,11,hard,FALSE,3,4,,,,
243.55059,2,11,hard,FALSE,2,3,,,,
265.9361532,2,11,easy,TRUE,4,3,,,,
287.7578943,2,22,hard,FALSE,1,1,,,,
308.6288332,2,22,easy,TRUE,2,1,,,,
325.596022,2,11,hard,FALSE,3,1,,,,
341.5612458,2,11,easy,TRUE,4,3,,,,
360.2142525,2,22,hard,FALSE,2,3,,,,
379.2657436,2,22,hard,FALSE,2,4,,,,
17.214598,2,222,easy,TRUE,1,4,2,3,3.605551275,-33.69006753
39.2266986,2,111,hard,FALSE,3,4,1,3,3.16227766,-71.56505118
57.1619343,2,222,hard,FALSE,2,3,1,1,1.414213562,-45
72.4942606,2,222,easy,TRUE,4,2,2,2,2.828427125,-45
91.1784753,2,222,hard,FALSE,3,4,1,1,1.414213562,-45
116.0753053,2,222,easy,TRUE,1,2,2,1,2.236067977,63.43494882
133.0202792,2,111,easy,TRUE,1,3,2,1,2.236067977,-26.56505118
152.8066588,2,222,hard,FALSE,2,1,1,2,2.236067977,-26.56505118
175.5052072,2,111,easy,TRUE,1,4,3,3,4.242640687,-45
191.5375385,2,222,easy,TRUE,1,3,3,1,3.16227766,-71.56505118
209.0127158,2,111,easy,TRUE,1,4,2,1,2.236067977,-26.56505118
230.4018825,2,111,hard,FALSE,2,1,1,3,3.16227766,71.56505118
254.1669792,2,111,hard,FALSE,1,4,1,1,1.414213562,-45
275.1784637,2,111,easy,TRUE,2,4,2,1,2.236067977,-26.56505118
297.8012209,2,222,hard,FALSE,2,2,1,1,1.414213562,45
316.9201494,2,222,easy,TRUE,4,4,2,3,3.605551275,33.69006753
331.7350402,2,111,hard,FALSE,2,2,1,1,1.414213562,-45
348.852074,2,111,easy,TRUE,1,1,3,2,3.605551275,33.69006753
369.0388767,2,222,hard,FALSE,3,2,1,1,1.414213562,-45
386.9578227,2,222,hard,FALSE,3,1,1,3,3.16227766,-18.43494882
