onset,duration,trial_type,relevant_rank,irrelevant_rank,D,I,E,A,sin6A,cos6A
8.0324031,1,1,,,,,,,,
26.5842054,1,1,,,,,,,,
48.0120027,1,1,,,,,,,,
67.0943138,1,2,,,,,,,,
81.9938064,1,1,,,,,,,,
96.7709733,1,1,,,,,,,,
112.3919457,1,1,,,,,,,,
132.690508,1,1,,,,,,,,
157.2815538,1,2,,,,,,,,
180.4709466,1,1,,,,,,,,
199.1063416,1,1,,,,,,,,
218.2253146,1,2,,,,,,,,
237.6109212,1,1,,,,,,,,
253.5938668,1,1,,,,,,,,
269.809851,1,2,,,,,,,,
287.4974943,1,2,,,,,,,,
304.4440456,1,1,,,,,,,,
321.812245,1,2,,,,,,,,
341.0643579,1,1,,,,,,,,
358.4323035,1,1,,,,,,,,
10.5679804,2,11,3,2,,,,,,
29.1196846,2,11,3,1,,,,,,
50.5451319,2,11,1,4,,,,,,
69.6275883,2,22,1,4,,,,,,
84.5266463,2,11,1,2,,,,,,
99.307618,2,11,1,3,,,,,,
114.9244431,2,11,1,1,,,,,,
135.2259336,2,11,2,4,,,,,,
159.8167238,2,22,4,3,,,,,,
183.0063539,2,11,3,1,,,,,,
201.6415843,2,11,4,3,,,,,,
220.7608497,2,22,1,2,,,,,,
240.1478143,2,11,3,2,,,,,,
256.1291936,2,11,2,3,,,,,,
272.3464084,2,22,4,4,,,,,,
290.0308121,2,22,3,4,,,,,,
306.9799011,2,11,4,2,,,,,,
324.3471421,2,22,2,2,,,,,,
343.6000801,2,11,1,4,,,,,,
360.9669989,2,11,3,4,,,,,,
17.9806136,2,111,1,1,2,1,2.236067977,26.56505118,0.352,-0.936
37.7284209,2,111,4,4,1,3,3.16227766,71.56505118,0.936,0.352
60.8180387,2,111,3,2,2,2,2.828427125,-45,1,0
75.8996417,2,222,4,2,3,2,3.605551275,-56.30993247,0.37687756,0.926263086
90.6145664,2,111,3,3,2,1,2.236067977,26.56505118,0.352,-0.936
105.4634361,2,111,4,1,3,2,3.605551275,-33.69006753,0.37687756,-0.926263086
121.8577749,2,111,2,4,1,3,3.16227766,71.56505118,0.936,0.352
146.0559,2,111,4,2,2,2,2.828427125,-45,1,0
171.0378071,2,222,2,1,2,2,2.828427125,45,-1,0
192.4363307,2,111,1,3,2,2,2.828427125,-45,1,0
208.3187873,2,111,3,2,1,1,1.414213562,45,-1,0
230.6706325,2,222,3,3,2,1,2.236067977,63.43494882,0.352,0.936
247.0870186,2,111,2,3,1,1,1.414213562,-45,1,0
262.6356465,2,111,4,1,2,2,2.828427125,-45,1,0
279.5191445,2,222,1,2,3,2,3.605551275,56.30993247,-0.37687756,0.926263086
298.0134295,2,222,2,2,1,2,2.236067977,26.56505118,0.352,-0.936
313.4031088,2,111,2,3,2,1,2.236067977,-26.56505118,-0.352,-0.936
332.7557836,2,222,1,3,1,1,1.414213562,-45,1,0
351.9099996,2,111,3,3,2,1,2.236067977,-26.56505118,-0.352,-0.936
367.4756903,2,111,2,2,1,2,2.236067977,63.43494882,0.352,0.936
