onset	duration	trial_type	relevant_rank	irrelevant_rank	Manhattan
17.7706608	2	F2	4.0	3.0	4
37.1894602	2	F2	2.0	1.0	3
59.1445853	2	F2	2.0	1.0	4
75.3660847	2	F2	3.0	4.0	3
91.4816485	2	F2	3.0	1.0	4
107.0140114	2	F2	2.0	2.0	4
125.8298244	2	F2	3.0	3.0	4
145.9810848	2	F2	4.0	4.0	3
164.8334112	2	F2	2.0	4.0	2
183.8856686	2	F2	1.0	1.0	4
198.7916626	2	F2	2.0	3.0	2
214.4995633	2	F2	2.0	4.0	3
234.0854988	2	F2	3.0	2.0	3
250.6887098	2	F2	1.0	2.0	3
266.3542934	2	F2	1.0	2.0	5
281.6330844	2	F2	4.0	4.0	2
296.6480003	2	F2	4.0	3.0	3
313.3313552	2	F2	1.0	2.0	4
338.6565985	2	F2	4.0	3.0	2
359.3486234	2	F2	2.0	2.0	3
