onset	duration	trial_type	relevant_red	relevant_blue	all_rank	all_rank_diff
17.5087722	2	F2	4	4	8	4
32.2939214	2	F2	1	1	2	5
47.1097492	2	F2	3	4	7	4
61.8524331	2	F2	1	1	2	5
87.2443584	2	F2	4	4	8	3
105.1620868	2	F2	3	3	6	2
124.3144774	2	F2	3	4	7	3
146.9367814	2	F2	1	1	2	4
169.5596704	2	F2	4	3	7	2
185.0182554	2	F2	2	1	3	2
202.1920279	2	F2	2	1	3	5
217.0160449	2	F2	4	4	8	4
231.6545427	2	F2	1	1	2	3
249.8141296	2	F2	1	1	2	4
268.3799773	2	F2	2	1	3	4
288.9115493	2	F2	2	4	6	3
306.7442335	2	F2	2	1	3	4
326.6328	2	F2	4	3	7	3
344.350455	2	F2	2	1	3	3
362.3015681	2	F2	3	1	4	3
